"MyUnknownColumn","Mat","Inns","Balls","Runs","Wkts","BBI","Ave","Econ","SR","4","5","start","end","name","country"
783,47,19,507,515,12,"4/43",42.91,6.09,42.2,1,0,2014,2019,"SF Mire","ZIM"
784,14,13,569,431,12,"2/28",35.91,4.54,47.4,0,0,2010,2014,"SO Ngoche","KENYA"
785,10,10,414,327,12,"4/33",27.25,4.73,34.5,1,0,2010,2010,"MA Parker","SCOT"
786,12,12,660,449,12,"2/25",37.41,4.08,55.0,0,0,1990,1991,"RG Petrie","NZ"
787,10,10,571,427,12,"3/47",35.58,4.48,47.5,0,0,1983,1987,"PWE Rawson","ZIM"
788,48,19,407,412,12,"3/29",34.33,6.07,33.9,0,0,2008,2014,"JD Ryder","NZ"
789,15,12,570,378,12,"3/15",31.5,3.97,47.5,0,0,2017,2019,"Simi Singh","IRE"
790,20,16,559,490,12,"2/17",40.83,5.25,46.5,0,0,2013,2017,"SR Thompson","IRE"
791,7,7,387,392,12,"5/46",32.66,6.07,32.2,0,1,2018,2018,"AJ Tye","AUS"
792,15,15,639,631,12,"2/41",52.58,5.92,53.2,0,0,2012,2019,"I Udana","SL"
793,12,12,564,481,12,"4/37",40.08,5.11,47.0,1,0,1995,2001,"KEA Upashantha","SL"
794,35,17,570,528,12,"3/18",44.0,5.55,47.5,0,0,2006,2010,"RR Watson","SCOT"
795,91,19,331,351,12,"3/5",29.25,6.36,27.5,0,0,2005,2018,"CL White","AUS"
796,15,13,450,368,12,"4/45",30.66,4.9,37.5,1,0,1998,2003,"PJ Wiseman","NZ"
797,9,9,417,346,11,"3/43",31.45,4.97,37.9,0,0,1993,1995,"Aamer Nazir","PAK"
798,9,9,380,419,11,"3/24",38.09,6.61,34.5,0,0,2011,2014,"VR Aaron","INDIA"
799,9,9,338,255,11,"3/17",23.18,4.52,30.7,0,0,1996,1997,"RW Ali","KENYA"
800,9,9,449,382,11,"3/19",34.72,5.1,40.8,0,0,2018,2019,"Amir Hayat","UAE"
801,10,9,426,355,11,"3/47",32.27,5.0,38.7,0,0,2008,2009,"LS Baker","WI"
802,25,18,641,511,11,"3/30",46.45,4.78,58.2,0,0,2017,2019,"RL Chase","WI"
803,20,14,469,415,11,"2/28",37.72,5.3,42.6,0,0,2003,2006,"R Clarke","ENG"
804,11,11,432,436,11,"4/35",39.63,6.05,39.2,1,0,1994,1997,"HT Davis","NZ"
805,4,4,198,130,11,"5/20",11.81,3.93,18.0,0,1,2019,2019,"Z Groenewald","NAM"
806,10,10,455,432,11,"4/55",39.27,5.69,41.3,1,0,2014,2014,"HF Gurney","ENG"
807,41,21,642,613,11,"3/45",55.72,5.72,58.3,0,0,2013,2019,"Haris Sohail","PAK"
808,7,7,342,288,11,"3/49",26.18,5.05,31.0,0,0,2014,2016,"Haseeb Amjad","HKG"
809,13,13,594,520,11,"2/38",47.27,5.25,54.0,0,0,1996,1999,"DW Headley","ENG"
810,9,8,492,280,11,"3/29",25.45,3.41,44.7,0,0,1973,1975,"HJ Howarth","NZ"
811,10,9,402,239,11,"3/22",21.72,3.56,36.5,0,0,2003,2003,"RL Johnson","ENG"
812,18,15,744,529,11,"4/23",48.09,4.26,67.6,1,0,1976,1980,"CL King","WI"
813,10,8,402,357,11,"3/27",32.45,5.32,36.5,0,0,1997,1998,"NM Kulkarni","INDIA"
